Date,GOOG
2021-01-04,85.8246841430664
2021-01-05,86.4543685913086
2021-01-06,86.1747817993164
2021-01-07,88.75511932373047
2021-01-08,89.746337890625
2021-01-11,87.73560333251953
2021-01-12,86.73395538330078
2021-01-13,87.12379455566406
2021-01-14,86.4176254272461
2021-01-15,86.219482421875
2021-01-19,88.93438720703125
2021-01-20,93.7037582397461
2021-01-21,93.91978454589844
2021-01-22,94.40645599365234
2021-01-25,94.32450866699219
2021-01-26,95.21044921875
2021-01-27,90.9173355102539
2021-01-28,92.52234649658203
2021-01-29,91.16314697265625
2021-02-01,94.42134857177734
2021-02-02,95.720458984375
2021-02-03,102.80001831054688
2021-02-04,102.41763305664062
2021-02-05,104.18701934814453
2021-02-08,103.93424224853516
2021-02-09,103.46743774414062
2021-02-10,104.05691528320312
2021-02-11,104.08223724365234
2021-02-12,104.49043273925781
2021-02-16,105.3739013671875
2021-02-17,105.69222259521484
2021-02-18,105.14051055908203
2021-02-19,104.34294891357422
2021-02-22,102.54227447509766
2021-02-23,102.83924865722656
2021-02-24,104.0464859008789
2021-02-25,100.87767028808594
2021-02-26,101.15080261230469
2021-03-01,103.36812591552734
2021-03-02,103.08655548095703
2021-03-03,100.6467514038086
2021-03-04,101.75814056396484
2021-03-05,104.71044158935547
2021-03-08,100.52062225341797
2021-03-09,101.93741607666016
2021-03-10,102.05313873291016
2021-03-11,105.01983642578125
2021-03-12,102.3952865600586
2021-03-15,102.62223052978516
2021-03-16,103.91487121582031
2021-03-17,103.8433837890625
2021-03-18,101.1190185546875
2021-03-19,101.46566009521484
2021-03-22,101.23670959472656
2021-03-23,101.95033264160156
2021-03-24,101.55801391601562
2021-03-25,101.52325439453125
2021-03-26,101.08574676513672
2021-03-29,102.09880828857422
2021-03-30,102.07845306396484
2021-03-31,102.72850799560547
2021-04-01,106.16100311279297
2021-04-05,110.52117156982422
2021-04-06,110.4814453125
2021-04-07,111.719482421875
2021-04-08,112.50211334228516
2021-04-09,113.51717376708984
2021-04-12,111.97325134277344
2021-04-13,112.59300231933594
2021-04-14,111.9757080078125
2021-04-15,114.05249786376953
2021-04-16,114.10713195800781
2021-04-19,114.33756256103516
2021-04-20,113.90203857421875
2021-04-21,113.88514709472656
2021-04-22,112.62528991699219
2021-04-23,114.97817993164062
2021-04-26,115.54627990722656
2021-04-27,114.57195281982422
2021-04-28,118.18672943115234
2021-04-29,120.66873168945312
2021-04-30,119.68695068359375
2021-05-03,118.94453430175781
2021-05-04,116.91243743896484
2021-05-05,117.03608703613281
2021-05-06,118.25823211669922
2021-05-07,119.11933135986328
2021-05-10,116.2872085571289
2021-05-11,114.65340423583984
2021-05-12,111.19308471679688
2021-05-13,112.32979583740234
2021-05-14,115.02088165283203
2021-05-17,115.28160095214844
2021-05-18,114.38870239257812
2021-05-19,114.65091705322266
2021-05-20,117.00381469726562
2021-05-21,116.45803833007812
2021-05-24,119.51563262939453
2021-05-25,119.63480377197266
2021-05-26,120.8494873046875
2021-05-27,119.30903625488281
2021-05-28,119.75846862792969
2021-06-01,120.66475677490234
2021-06-02,120.24115753173828
2021-06-03,119.41332244873047
2021-06-04,121.75479888916016
2021-06-07,122.46642303466797
2021-06-08,123.29874420166016
2021-06-09,123.72332000732422
2021-06-10,125.22306823730469
2021-06-11,124.84217834472656
2021-06-14,125.49322509765625
2021-06-15,125.17638397216797
2021-06-16,124.84217834472656
2021-06-17,125.5120849609375
2021-06-18,124.71404266357422
2021-06-21,125.59552001953125
2021-06-22,126.13630676269531
2021-06-23,125.60197448730469
2021-06-24,126.4168930053711
2021-06-25,126.13185119628906
2021-06-28,125.9575424194336
